Intersections	Degree	Observed.Overlap	Expected.Overlap	FE	P.value	Elements
LUAD & UCEC	2	215	89.8265987350668	2.39350039996636	1.21280406008319e-37	ABCD1, ABCD4, ACBD3, ACBD5, ACSL5, ADAM9, AFG3L2, AGGF1, AHR, AKAP1, ALG13, ALG9, ANKRD28, AP3B1, ARFIP1, ARMCX5, ARSD, ATAD1, ATF6, ATP1B1, ATP2A2, ATP8B1, BCAT1, BIRC6, BSDC1, C16orf58, C6orf47, CA13, CANX, CARD10, CASK, CASP7, CCDC47, CCNT2, CD46, CD5, CDC27, CDC40, CLINT1, CLPX, CNNM4, CNOT8, COG1, COX15, CSNK1A1, CSNK1D, CWC22, CXorf38, CXXC5, CYB5R1, DDX19B, DDX20, DDX21, DGCR8, DHODH, DHRS3, DHX9, DIS3, DNAJC14, DTNBP1, EBAG9, EIF2AK3, ERBB2, ESF1, ETFDH, EXOG, EXTL3, EYA3, FAM160B2, FAM76B, FAT1, FKBP8, FNBP4, FUCA1, G3BP2, GALNT10, GEMIN4, GFM1, GK, GOLGA2, GOSR1, GPRC5C, GTF3C1, HDLBP, HEATR5A, HERPUD1, HEXB, HK1, HLA-C, HS2ST1, HSDL1, IBTK, IFI35, IFIH1, INTS1, INTS12, INTS2, INTS6, LARP7, LARS, LCOR, LMAN1, LMBRD2, LNX1, LPIN2, LY75, LYRM2, M6PR, MALT1, MAN1A2, MARCH7, MED7, MIPEP, MKRN1, MLLT3, MRPS31, MSH3, MTIF3, NAALADL2, NAGLU, NAGPA, NCAPH2, NHLRC3, NOL8, NOL9, NOM1, NUCB2, OAS1, P4HA2, P4HTM, PAM, PARN, PDZK1IP1, PIGS, PKP2, PLA2G4A, PLEKHA6, POFUT1, POLA1, PPP1R1B, PPP4R2, PRRC1, PSEN2, PTK7, PTTG1IP, RAB43, RCL1, REST, RHBDF1, RIF1, RLIM, RNF213, RPL9, RRP15, SBNO1, SCFD2, SCIN, SEC23IP, SF3B3, SLC12A2, SLC16A1, SLC25A3, SLC30A9, SLC38A10, SMARCAD1, SMN1, SNRNP200, SORL1, SP110, SP6, SPCS3, SPTY2D1, SRCAP, SRFBP1, SRP14, STAU1, STX16, STX5, SUMF2, SURF6, TANK, TAP2, TC2N, TESC, TM9SF1, TM9SF3, TM9SF4, TMBIM6, TMED10, TMEM131, TMEM168, TMUB2, TMX2, TOE1, TOR1AIP2, TP53BP1, TRAFD1, TRIP12, TST, TXLNA, TXLNG, UBR5, USO1, USP33, UTP20, VAMP7, VKORC1L1, WDR11, WDR33, WLS, ZC3H11A, ZDHHC21, ZFYVE27, ZNF512B, ZNF687
HCC & UCEC	2	93	51.5760716795502	1.80316175644052	1.07692122812567e-08	ADAM10, ANAPC2, ANKHD1, ANP32B, BET1, BIRC6, CCDC47, CD74, CD9, CEBPZ, COPB1, COX11, CYP51A1, DDX18, EEF1G, EIF2B3, ETF1, GLCE, GOLGA4, HEATR5A, HEATR5B, HIRA, HLA-B, HLA-DMA, HS2ST1, HSPA8, ICAM1, IGF2R, INTS12, IPO7, KTN1, LMBRD2, M6PR, MAGED1, MALT1, MAN1A2, MBOAT1, MED23, MRPL45, MRPL49, MRPS18B, MSH3, MTIF3, NOC3L, NOL9, NOM1, PABPC4, PARD6B, PARP4, PEX1, PI4K2A, PPP1R10, PSAP, PTPRK, PUM1, RABAC1, RFK, RIF1, RPL18, RPL4, RPL7A, RPS17, RREB1, SBNO1, SCFD1, SCPEP1, SDAD1, SF3B3, SLC12A2, SLC1A5, SLC25A40, SLC38A10, SLTM, SP110, SPTLC2, SPTY2D1, SRFBP1, STX5, SYNRG, TM9SF1, TMEM161B, TMEM70, TOP2B, TRIM33, TRIP11, TRIP12, TRMT5, TXLNG, VAMP7, WDR11, WDR33, YME1L1, ZNF638
HCC & LUAD	2	166	85.3695537596627	1.94448714663934	2.07346280968174e-18	ACSL3, ARFGAP3, ARHGAP12, ARL6IP4, ATF1, ATG9A, ATXN10, BIRC6, C2orf69, CCDC47, CCDC6, CCNK, CCNT1, CHERP, CHI3L1, COL12A1, CSTF2T, CTNNBL1, CTR9, CTSC, CXorf56, DDX6, DMAP1, DNAJC3, DPP4, EEF2, EIF3A, EIF3L, EIF4G1, EIF4G2, ELOVL5, EML4, FADS2, FAM83G, FASTKD5, FEZ2, FKBP5, FMR1, FNDC3B, GALK2, GATAD2A, GLE1, GTF2H1, GTF3C4, HEATR5A, HNRNPD, HNRNPH3, HNRNPM, HS2ST1, HTRA1, IDE, INTS12, IPO5, IRF2BP1, IRF6, KDM2A, KIAA1143, KIF21A, LAMP2, LMBRD2, LSM14A, M6PR, MALT1, MAN1A2, MAN2A1, MBD2, MIS12, MORF4L1, MRPL14, MSH3, MTA1, MTA2, MTIF3, MX1, MYBBP1A, MYO6, NCOA2, NOL9, NOM1, NSUN4, NT5C2, NUDC, NUP153, OAS3, OSBPL2, PAF1, PAIP2, PAPOLA, PCYT1A, PDS5A, PELO, PEX19, PEX26, PIN4, PITRM1, PLRG1, PLS1, PNN, POLR2C, POLR2E, PPFIA1, PPIG, PPWD1, RBM15, RBM25, RBM27, RELA, RIF1, RIOK2, RPA1, RRP1B, RSRC2, SBNO1, SCAMP1, SCYL2, SF3B1, SF3B3, SIL1, SLC12A2, SLC38A10, SMARCD2, SMCHD1, SNW1, SOAT1, SP110, SPTY2D1, SRFBP1, SSU72, STAG2, STAT2, STX5, SUDS3, SYF2, SYNCRIP, SYVN1, TAF6L, TAPBP, TARDBP, TBP, TERF2, TIMM22, TM9SF1, TMEM181, TMF1, TNPO3, TRIP12, TUT1, TXLNG, UBE2H, UBQLN2, UBR7, UBXN7, USP48, VAMP7, VCPIP1, WASL, WBP11, WDR11, WDR33, WDR82, XRN2, YTHDF3, ZC3H18, ZCCHC8, ZMYM2, ZNF428
HCC & LUAD & UCEC	3	28	5.89427874693384	4.75036916341382	1.94225331863287e-11	BIRC6, CCDC47, HEATR5A, HS2ST1, INTS12, LMBRD2, M6PR, MALT1, MAN1A2, MSH3, MTIF3, NOL9, NOM1, RIF1, SBNO1, SF3B3, SLC12A2, SLC38A10, SP110, SPTY2D1, SRFBP1, STX5, TM9SF1, TRIP12, TXLNG, VAMP7, WDR11, WDR33
CRC & UCEC	2	13	4.07361208713985	3.1912709708026	0.000152140717303653	BCLAF1, CLPX, DDX46, DDX5, FTSJ3, POFUT1, RP2, SBNO1, SNRNP200, TMCO1, TXLNA, WDR33, YME1L1
CRC & LUAD	2	18	6.74270906535488	2.66955015047095	6.43587646165648e-05	CHD4, CLPX, CPSF2, CTTN, EIF4G1, FUBP3, NCOA5, NNMT, NUFIP2, POFUT1, RAD50, RNMT, SBNO1, SNRNP200, ST6GAL1, TPR, TXLNA, WDR33
CRC & LUAD & UCEC	3	6	0.465545443198255	12.8881081055816	7.41858438365239e-06	CLPX, POFUT1, SBNO1, SNRNP200, TXLNA, WDR33
CRC & HCC	2	16	3.87148629655657	4.13277970639621	7.6784677406246e-07	AGPAT5, BRD3, EIF4G1, GPX7, GTF2I, MBD3, RBBP5, RBBP6, SAFB, SBNO1, SMARCA5, SMC3, TMEM87A, WDR33, YME1L1, ZNF622
CRC & HCC & UCEC	3	3	0.267303955472019	11.2231784774844	0.00248662346576926	SBNO1, WDR33, YME1L1
CRC & HCC & LUAD	3	3	0.4424458601388	6.7804906097638	0.00998923187017258	EIF4G1, SBNO1, WDR33
